Cloud Clear++,Sometimes clears away five black-cloud disruptions,40%,100%,100%,0,Removes 5 Black Clouds on the board
Block Smash+,Sometimes clears three unbreakable-block disruptions,50%,100%,100%,0,Removes 3 Metal Blocks on the board
Block Smash++,Sometimes clears five unbreakable-block disruptions,40%,100%,100%,0,Removes 5 Metal Blocks on the board
Eject+,Sometimes removes three non-Support Pokémon icons,50%,100%,100%,0,Removes 3 disruption-based Pokemon
Eject++,Sometimes removes five non-Support Pokémon icons,40%,100%,100%,0,Removes 5 disruption-based Pokemon
Barrier Bash+,Sometimes removes three barrier-type disruptions,50%,100%,100%,0,Removes 3 Barriers on the board
Barrier Bash++,Sometimes removes five barrier-type disruptions,40%,100%,100%,0,Removes 5 Barriers on the board
Swap+,Can replace some disruptions with this Pokémon,25%,50%,100%,0,Changes 3 Rock, Metal Block or Coin into a matching Pokemon
Swap++,Can replace many disruptions with this Pokémon,20%,50%,100%,0,Changes 5 Rock, Metal Block or Coin into a matching Pokemon
Shock Attack,Leaves the foe paralyzed,20%,30%,80%,0,Paralyze for 3 turns, Steel and Electric types are immune to this skill
Nosedive,Attacks can occasionally deal greater damage than usual,15%,40%,70%,0,Not released yet
Sky Blast,Increases damage done by any Flying types in a combo,10%,60%,90%,0,Damage done by Flying Type in a combo x2
Poisonous Mist,Does more damage when the opponent has more HP left,15%,25%,30%,0,Damage equals Opponent's remaining HP x10%.
Downpour,Does more damage when the opponent has more HP left,15%,25%,30%,0,Damage equals Opponent's remaining HP x10%.
Super Bolt,Attacks can occasionally deal greater damage than usual,10%,20%,50%,0,Damage when triggered x10
Venusaur Mega Power,Erases 5 Pokémon in the columns to the left and right of the Pokémon in the chain,100%,100%,100%,3,A vertical match will erase all Pokemon from left to right for each row
Charizard Y Mega Power,Erases all Pokémon in a Y-shaped pattern,100%,100%,100%,3,Erased tiles are always the same
Blastoise Mega Power,Erases out Pokémon within two space of all Pokémon in the chain and uses the to make one powerful attack,100%,100%,100%,4,You can extend the Mega Effect of this Pokemon by having more Mega beside the match
Audino Mega Power,Erases out Pokémon within one space of all Pokémon in the chain,100%,100%,100%,3,You can extend the Mega Effect of this Pokemon by having more Mega beside the match
Absol Mega Power,Erases diagonal Pokémon from upper-right to lower-left corner.,100%,100%,100%,3,Erase as a scratch pattern
Ampharos Mega Power,A random lightning strike erases a jagged line of Pokémon.,100%,100%,100%,7,2 random lightning line from Row 1 up to Row 6
Altaria Mega Power,Erases out Pokémon within two space of all Pokémon in the chain and uses the to make one powerful attack,100%,100%,100%,6,You can extend the Mega Effect of this Pokemon by having more Mega beside the match
Heracross Mega Power,Adds one more Mega Heracross to the left of the match,100%,100%,100%,6,It only adds one more Heracross tile at the left of the other Heracross tiles
Lopunny Mega Power,Erases 5 Pokémon in the rows above and beneath the Pokémon in the chain,100%,100%,100%,8,A horizontal match will erase all Pokemon above and below for each column
Kangaskhan Mega Power,Erases 5 Pokémon in the columns to the left and right of the Pokémon in the chain,100%,100%,100%,8,A vertical match will erase all Pokemon from left to right for each row
Sableye Mega Power,Erases all Pokémon in a O-shaped pattern,100%,100%,100%,8,Erased tiles are always the same
Lucario Mega Power,Erases 5 Pokémon in the rows above and beneath the Pokémon in the chain,100%,100%,100%,4,A horizontal match will erase all Pokemon above and below for each column
Slowbro Mega Power,Adds one more Mega Slowbro above the match,100%,100%,100%,2,It only adds one more Slowbro tile above other Slowbro tiles
Blaziken Mega Power,Erases Pokémon (max 3) of the same type as Mega Blaziken,100%,100%,100%,3,It replaces 3 fire type Pokemon into Blaziken tiles
Mawile Mega Power,Erases diagonal Pokémon from upper-right to lower-left corner,100%,100%,100%,7,Erase as a scratch pattern
Gengar Mega Power,Erases all Mega Gengar in the puzzle area,100%,100%,100%,1,Erases all Mega Gengar tiles on board
Glalie Mega Power,Erases all Pokémon in a V-shaped pattern,100%,100%,100%,6,Erased tiles are always the same
Aerodactyl Mega Power,Erases rocks and blocks (max 10) and also does damage to the foe,100%,100%,100%,7,Erases up to 10 Rocks/Blocks or Coins
Mewtwo Mega Power,Clears a Pokémon with the same type as Mega Mewtwo Y (max 10),100%,100%,100%,5,Erases up to 10 tiles with the same type as Mega Mewtwo Y. Will not erase Mewtwo
Banette Mega Power,Clears a Pokémon with the same type as Mega Banette (max 10),100%,100%,100%,8,Erases up to 10 tiles with the same type as Mega Banette. Will not erase Banette
Sharpedo Mega Power,Adds one more Mega Sharpedo above the match,100%,100%,100%,10,It only adds one more Sharpedo tile above other Sharpedo tiles
Manectric Mega Power,A vertical lightning strike erases a jagged line of Pokémon,100%,100%,100%,7,The place where the lightning will strike is random. Erases 2 tiles per row
Garchomp Mega Power,Erases Pokémon with three lines from upper left to lower right,100%,100%,100%,10,Erase as a scratch pattern
Latias Mega Power,Erases Pokémon on a random jagged line horizontally,100%,100%,100%,12,2 random lightning line from Column 1 up to Column 6
Medicham Mega Power,Erases a group of Pokémon in the middle at once,100%,100%,100%,6,Fixed tiles erase. 12 tiles at the center
Unknown,Skill not discovered yet,0%,0%,0%,0,Unknown
Rayquaza Mega Power,Erases a Pokémon of a different type from Mega Rayquaza,100%,100,100%,20,Erases up to 10 tiles. Will not erase Rayquaza
Mewtwo X Mega Power,Erases Pokémon of the same type as Mega Mewtwo X,100%,100%,100%,5,Erases max o 3 Pokémon
Charizard X Mega Power,Erases all Pokémon in an X-shaped pattern,100%,100%,100%,5,Erased tiles are always the same
Diancie Mega Power,Erases Pokémon that are covered by a barrier,100%,100%,100%,6,Erases max of 10 barriers
Swampert Mega Power,Erases Pokémon of the same type as Mega Swampert,100%,100%,100%,3,Erases max o 3 Pokémon
Latios Mega Power,Erases Pokémon on a jagged line horizontally,100%,100%,100%,5,The jagged line is always the same pattern just the line it starts from is random
Sceptile Mega Power,Erases Pokémon (max 3) of the same type as Mega Sceptile,100%,100%,100%,3,It replaces 3 fire type Pokemon into Sceptile tiles
